20	18	0.88	10	25	16	18	4
1	0.95	19					
2	0.79	22					
3	0.97	20					
4	0.93	23					
5	1.00	21					
6	1.01	17					
7	1.04	24					
8	1.18	22					
9	1.26	17					
10	1.18	22					
11	1.30	19					
12	1.36	23					
13	1.46	16					
14	1.47	20					
15	1.40	18					
16	1.39	20					
17	1.42	16					
18	1.33	20					
19	1.29	23					
20	1.19	16					
21	1.22	21					
22	1.20	23					
23	1.39	24					
24	1.35	17					
25	1.24	18					
26	1.23	22					
27	1.09	24					
28	1.16	24					
29	1.13	22					
30	0.94	18					
31	0.81	21					
32	0.81	24					
33	0.80	17					
34	0.88	18					
35	1.04	18					
36	1.12	21					
37	1.17	24					
38	1.16	23					
39	1.33	21					
40	1.28	24					
41	1.33	24					
42	1.39	18					
43	1.33	18					
44	1.25	18					
45	1.09	19					
46	1.03	17					
47	1.20	20					
48	1.14	18					
49	1.29	20					
50	1.35	22					
51	1.28	22					
52	1.48	19					
53	1.44	22					
54	1.46	19					
55	1.54	21					
56	1.67	16					
57	1.65	23					
58	1.46	23					
59	1.31	19					
60	1.36	22					
61	1.26	22					
62	1.43	19					
63	1.30	23					
64	1.19	23					
65	1.06	21					
66	1.19	20					
67	1.06	23					
68	0.90	20					
69	1.02	20					
70	0.95	16					
71	0.89	17					
72	1.03	20					
73	0.99	18					
74	0.85	16					
75	0.79	23					
76	0.74	23					
77	0.70	20					
78	0.75	16					
79	0.62	18					
80	0.59	16					
81	0.70	24					
82	0.74	17					
83	0.71	21					
84	0.79	17					
85	0.86	21					
86	0.84	23					
87	0.84	24					
88	0.95	24					
89	1.12	23					
90	1.14	18					
91	1.34	20					
92	1.19	18					
93	1.03	20					
94	0.87	24					
95	0.70	20					
96	0.68	17					
97	0.74	21					
98	0.83	16					
99	0.82	18					
100	0.85	23					
