48	60	0.90	20	48	24	28	20
1	0.40	18					
2	0.44	16					
3	0.48	18					
4	0.48	20					
5	0.48	18					
6	0.51	18					
7	0.46	21					
8	0.43	25					
9	0.47	29					
10	0.44	33					
11	0.43	31					
12	0.42	33					
13	0.47	32					
14	0.46	29					
15	0.49	29					
16	0.53	33					
17	0.48	30					
18	0.44	30					
19	0.46	31					
20	0.42	28					
21	0.42	28					
22	0.39	30					
23	0.36	34					
24	0.41	30					
25	0.41	31					
26	0.39	33					
27	0.42	33					
28	0.45	34					
29	0.46	36					
30	0.47	37					
31	0.50	35					
32	0.51	31					
33	0.56	32					
34	0.61	30					
35	0.56	26					
36	0.58	26					
37	0.57	27					
38	0.58	23					
39	0.56	19					
40	0.55	18					
41	0.54	19					
42	0.59	23					
43	0.63	26					
44	0.66	26					
45	0.68	30					
46	0.71	31					
47	0.66	28					
48	0.62	32					
49	0.58	31					
50	0.54	30					
51	0.51	34					
52	0.56	37					
53	0.61	41					
54	0.58	44					
55	0.57	43					
56	0.59	42					
57	0.64	42					
58	0.65	44					
59	0.66	45					
60	0.67	42					
61	0.63	41					
62	0.61	42					
63	0.64	38					
64	0.60	34					
65	0.60	33					
66	0.59	31					
67	0.59	33					
68	0.60	34					
69	0.57	37					
70	0.59	41					
71	0.60	37					
72	0.63	34					
73	0.61	35					
74	0.56	31					
75	0.53	31					
76	0.48	33					
77	0.43	30					
78	0.48	26					
79	0.44	30					
80	0.39	27					
81	0.36	27					
82	0.35	24					
83	0.31	20					
84	0.30	20					
85	0.25	22					
86	0.29	19					
87	0.26	20					
88	0.25	20					
89	0.22	16					
90	0.24	16					
91	0.20	20					
92	0.16	23					
93	0.13	25					
94	0.18	25					
95	0.18	25					
96	0.14	28					
97	0.11	26					
98	0.13	22					
99	0.15	25					
100	0.18	21					
