15	12	0.95	12	10	6	14	0
1	6.23	10					
2	6.19	12					
3	6.38	13					
4	6.37	8					
5	6.22	14					
6	6.25	7					
7	6.11	8					
8	6.12	6					
9	6.06	13					
10	5.97	6					
11	6.16	8					
12	5.99	8					
13	6.10	11					
14	6.21	9					
15	6.16	10					
16	6.28	12					
17	6.22	7					
18	6.29	9					
19	6.34	6					
20	6.28	12					
21	6.08	7					
22	5.91	8					
23	5.98	9					
24	5.82	9					
25	5.96	12					
26	6.16	7					
27	6.01	12					
28	5.85	11					
29	5.86	12					
30	5.78	7					
31	5.96	8					
32	5.78	9					
33	5.95	10					
34	5.94	6					
35	5.83	14					
36	5.92	12					
37	5.86	9					
38	5.67	12					
39	5.63	8					
40	5.47	7					
41	5.38	9					
42	5.54	11					
43	5.60	6					
44	5.42	14					
45	5.41	14					
46	5.31	9					
47	5.39	9					
48	5.47	8					
49	5.33	9					
50	5.34	10					
51	5.44	14					
52	5.49	11					
53	5.57	9					
54	5.42	12					
55	5.37	7					
56	5.32	12					
57	5.25	14					
58	5.22	12					
59	5.24	6					
60	5.11	6					
61	5.21	8					
62	5.05	6					
63	4.99	10					
64	4.81	12					
65	4.72	11					
66	4.52	7					
67	4.35	10					
68	4.15	13					
69	4.20	6					
70	4.24	13					
71	4.20	10					
72	4.34	7					
73	4.16	12					
74	4.35	6					
75	4.28	9					
76	4.33	13					
77	4.50	6					
78	4.45	13					
79	4.57	12					
80	4.54	6					
81	4.48	7					
82	4.44	7					
83	4.55	14					
84	4.52	12					
85	4.43	14					
86	4.37	14					
87	4.29	14					
88	4.37	13					
89	4.53	9					
90	4.68	14					
91	4.48	14					
92	4.47	13					
93	4.46	7					
94	4.29	9					
95	4.14	7					
96	4.21	14					
97	4.29	11					
98	4.42	11					
99	4.56	8					
100	4.36	13					
